Heroes,Similarity
"[68, 84]",0.9044501443915939
"[84, 68]",0.9044501443915939
"[29, 37]",0.9043653218832977
"[37, 29]",0.9043653218832977
"[6, 70]",0.903084077519536
"[70, 6]",0.903084077519536
"[27, 100]",0.8999120052292279
"[100, 27]",0.8999120052292279
"[51, 107]",0.8996100804592786
"[107, 51]",0.8996100804592786
"[20, 69]",0.8972990779298042
"[69, 20]",0.8972990779298042
"[21, 93]",0.8955791814634088
"[93, 21]",0.8955791814634088
"[61, 80]",0.8955138601608665
"[80, 61]",0.8955138601608665
"[1, 61]",0.8940152757588916
"[61, 1]",0.8940152757588916
"[87, 79]",0.89309062653707
"[79, 87]",0.89309062653707
"[3, 57]",0.8930311674784764
"[57, 3]",0.8930311674784764
"[18, 70]",0.8916484762004214
"[70, 18]",0.8916484762004214
"[137, 96]",0.8912336031186222
"[96, 137]",0.8912336031186222
"[84, 39]",0.8895570470079396
"[39, 84]",0.8895570470079396
"[138, 19]",0.8886668391235342
"[19, 138]",0.8886668391235342
"[137, 90]",0.8885135647371092
"[90, 137]",0.8885135647371092
"[112, 40]",0.888468741559782
"[40, 112]",0.888468741559782
"[72, 52]",0.8880709301082839
"[52, 72]",0.8880709301082839
"[105, 45]",0.8861458142226276
"[45, 105]",0.8861458142226276
"[25, 13]",0.8857841133678003
"[13, 25]",0.8857841133678003
"[65, 40]",0.8853734753741155
"[40, 65]",0.8853734753741155
"[22, 38]",0.8849643843627819
"[38, 22]",0.8849643843627819
"[126, 48]",0.8832855443057476
"[48, 126]",0.8832855443057476
"[25, 53]",0.8827521878238956
"[53, 25]",0.8827521878238956
"[1, 77]",0.8799397106382105
"[77, 1]",0.8799397106382105
"[28, 73]",0.8790422894749437
"[73, 28]",0.8790422894749437
"[53, 138]",0.87894409436463
"[138, 53]",0.87894409436463
"[72, 38]",0.8786775960779657
"[38, 72]",0.8786775960779657
"[22, 72]",0.878245967571794
"[72, 22]",0.878245967571794
"[67, 39]",0.8780477773585346
"[39, 67]",0.8780477773585346
"[61, 93]",0.8778382888721497
"[93, 61]",0.8778382888721497
"[113, 59]",0.8761046076448494
"[59, 113]",0.8761046076448494
"[11, 48]",0.8758895286046761
"[48, 11]",0.8758895286046761
"[46, 109]",0.8747733902239796
"[109, 46]",0.8747733902239796
"[138, 128]",0.8745781319391709
"[128, 138]",0.8745781319391709
"[12, 6]",0.8741413271259509
"[6, 12]",0.8741413271259509
"[85, 111]",0.8738135596084038
"[111, 85]",0.8738135596084038
"[101, 65]",0.8730282041039142
"[65, 101]",0.8730282041039142
"[65, 83]",0.8709760394606353
